Name,Acronym
Abra State Institute of Science and Technology,
Advanced Science and Technology Institute,ASTI
Agricultural Credit Policy Council,ACPC
Agusan Del Sur State College of Agriculture and Technology,
Aklan State University,
Anti-Red Tape Authority,
Armed Forces of the Philippines,
Aurora State College of Technology,
Authority of the Freeport Area of Bataan,
Bataan Peninsula State University,
Batangas State University,
Benguet State University,
Bicol State College of Applied Sciences and Technology,
Bicol University,
Biliran Province State University,
Naval State University,
Board of Investments,BOI
Bukidnon State University,
Bulacan Agricultural State College,
Bulacan State University,
Bureau of Broadcast Services,
Bureau of Communications Services,
Bureau of Corrections,
Bureau of Customs,BOC
Bureau of Fire Protection,
Bureau of Fisheries and Aquatic Resources,BFAR
Bureau of Immigration,
Bureau of Jail Management and Penology,
Bureau of Local Government Finance,
Bureau of Treasury,BTr
Bureau of Internal Revenue,BIR
Cagayan Economic Zone Authority,
Cagayan State University,
Camarines Norte State College,
Camarines Sur Polytechnic College,
Capiz State University,
CARAGA State University,
Career Executive Service Board,
Carlos Hilado Memorial State College,
Catanduanes State College,
Cavite State University,
Cebu Normal University,
Cebu Technological University,
Central Bicol State University of Agriculture,
Central Board of Assessment Appeals,
Central Luzon State University,
Central Mindanao University,
Central Philippines State University,
Civil Aeronautics Board,
Civil Service Commission,
Climate Change Commission,
Commission on Filipinos Overseas,
Commission on Higher Education,
Commission on Human Rights,
Commission on Population,
Commission on Audit,
Construction Industry Authority of the Philippines,CIAP
Cooperative Development Authority,
Cotabato Foundation College of Science and Technology,
Dangerous Drugs Board,
Davao De Oro State College,
Compostela Valley State College,
Davao del Norte State College,
Davao Oriental State College of Science and Technology,
Department of Agrarian Reform,DAR
Department of Agriculture,DA
Department of Budget and Management,DBM
Department of Education,DepEd
Department of Energy,DOE
Department of Environment and Natural Resources,DENR
Department of Finance,DOF
Department of Foreign Affairs,DFA
Department of Health,DOH
Department of Human Settlements and Urban Development,DHSUD
Department of Information and Communications Technology,DICT
Department of Justice,DOJ
Department of Labor and Employment,DOLE
Department of Migrant Workers,DMW
Department of National Defense,DND
Department of Public Works and Highways,DPWH
Department of Science and Technology,DOST
Department of Social Welfare and Development,DSWD
Department of the Interior and Local Government,DILG
Department of Tourism,DOT
Department of Trade and Industry,DTI
Department of Transportation,DOTr
Don Honorio Ventura Technological State University,
Don Mariano Marcos Memorial State University,
"Dr. Emilio B. Espinosa, Sr. Memo. State College of Agri and Technology",
Eastern Samar State University,
Eastern Visayas State University,
Energy Regulatory Commission,
Environmental Management Bureau,EMB
Eulogio Amang Rodriguez Institute of Science and Technology,
Fertilizer and Pesticide Authority,
Film Development Council of the Philippines,
Food and Nutrition Research Institute,FNRI
Foreign Service Institute,
Forest Products Research and Development Institute,FPRDI
Games and Amusements Board,
Governance Commission for GOCCs,
Government Arsenal,
Government Procurement Policy Board- Technical Support Office,
Guimaras State College,
Human Settlement Adjudication Commission,
Ifugao State University,
Ilocos Sur Polytechnic State College,
IloIlo Science and Technology University,
Western Visayas College of Science and Technology,
Iloilo State College of Fisheries,
Industrial Technology Development Institute,ITDI
Institute for Labor Studies,
Insurance Commission,IC
Intellectual Property Office,IPO
Inter-Country Adoption Board,
Intramuros Administration,
Isabela State University,
JH Cerilles State College,
Jose Rizal Memorial State University,
Juvenile Justice and Welfare Council,
Kagawaran ng Repormang Pansakahan,
Kagawaran ng Pagsasaka,
Kagawaran ng Badyet at Pamamahala,
Kagawaran ng Edukasyon,
Kagawaran ng Enerhiya,
Kagawaran ng Kapaligiran at Likas na Yaman,
Kagawaran ng Pananalapi,
Kagawaran ng Ugnayang Panlabas,
Kagawaran ng Kalusugan,
Kagawaran ng Pananahanang Pantao at Pagpapaunlad ng Kalunsuran,
Kagawaran ng Teknolohiyang Pang-Impormasyon at Komunikasyon,
Kagawaran ng Katarungan,
Kagawaran ng Paggawa at Empleyo,
Kagawaran ng Manggagawang Mandarayuhan,
Kagawaran ng Tanggulang Pambansa,
Kagawaran ng mga Pagawain at Lansangang Bayan,
Kagawaran ng Agham at Teknolohiya,
Kagawaran ng Kalingang Panlipunan at Pagpapaunlad,
Kagawaran ng Interyor at Pamahalaang Lokal,
Kagawaran ng Turismo,
Kagawaran ng Kalakalan at Industriya,
Kagawaran ng Transportasyon,
Kalinga Apayao State College,
Laguna State Polytechnic University,
Land Registration Authority,
Land Transportation Franchising & Regulatory Board,LTFRB
Land Transportation Office,
Leyte Normal University,
Local Government Academy,
Lung Center of the Philippines,
Mariano Marcos State University,
Marinduque State College,
Maritime Industry Authority,MARINA
Metals Industry Research and Development Center,MIRDC
Metropolitan Manila Development Authority,
Mindanao Development Authority,
Mines and Geo-Sciences Bureau,MGSB
Movie and Television Review and Classification Board,
Mt. Province State Polytechnic College,
National Academy of Science and Technology,NAST
National Anti-Poverty Commission,
National Archives of the Philippines,
National Book Development Board,
National Bureau of Investigation,
National Commission for Culture and the Arts,
National Commission on Indigenous Peoples,
National Commission on Muslim Filipinos,
National Conciliation and Mediation Board,
National Council for Children's Television,
National Council on Disability Affairs,
National Defense College of the Philippines,
National Economic and Development Authority,
National Historical Commission of the Philippines,
National Intelligence Coordinating Agency,
National Labor Relations Commission,
National Library of the Philippines,
National Mapping and Resource Information Authority,NaMRIA
National Maritime Polytechnic,
National Museum,
National Nutrition Council,
National Parks Development Committee,NPDC
National Police Commission,
National Printing Office,
National Privacy Commission,
National Research Council of the Philippines,NRCP
National Security Council,
National Tax Research Center,NTRC
National Telecommunications Commission,
National Wages and Productivity Commission,
National Water Resources Board,NWRB
National Youth Commission,
Negros Oriental State University,
News and Information Bureau,
Northern Iloilo Polytechnic State College,
Northern Negros State College of Science and Technology,
Northwestern Mindanao State College of Science and Technology,
Nueva Ecija University of Science and Technology,
Occidental Mindoro State College,
Office for Transportation Security,OTS
Office of Civil Defense,
Office of the Government Corporate Counsel,
Office of the Ombudsman,
Office of the President,
Office of the Presidential Adviser on the Peace Process,
Office of the Solicitor General,
Office of the Transportation Cooperatives,OTC
Office of the Vice President,
Optical Media Board,
Overseas Workers Welfare Administration,
Palawan Council for Sustainable Development Staff,PCSDS
Palawan State University,
Palompon Institute of Technology,
Pampanga State Agricultural College,
Pangasinan State University,
Parole and Probation Administration,
Partido State University,
Philipine Fiber Industry development Authority,
Philippine Air Force,
Air Forces,
Philippine Army,
Land Forces,
"Philippine Atmospheric, Geophysical, and Astronomical Services Administration",PAGASA
Philippine Carabao Center,
Philippine Center for Postharvest Development and Mechanization,PhilMech
Philippine Children’s Medical Center,
Philippine Coast Guard,
Philippine Commission on Women,
Philippine Competition Commission,
Philippine Council for Agriculture and Fisheries,
National Agricultural and Fisheries Council,
"Philippine Council for Agriculture, Aquatic and Natural Resources Research and Development",PCAARRD
Philippine Council for Health Research and Development,PCHRD
"Philippine Council for Industry, Energy and Emerging Technology Research and Development",PCIEERD
Philippine Economic Zone Authority,
Philippine Heart Center,
Philippine High School for the Arts,
Philippine Information Agency,
Philippine Institute for Development Studies,
Philippine Institute of Traditional and Alternative Health care,
Philippine Institute of Volcanology and Seismology,PHIVOLCS
Philippine Merchants Marine Academy,
Philippine National Police,
Philippine National Volunteer Service Coordinating Agency,PNVSCA
Philippine Navy,
Navy Forces,
Philippine Normal University,
Philippine Nuclear Research Institute,PNRI
Philippine Overseas Employment Administration,
Philippine Public Safety College,
Philippine Rice Research Institute,
Philippine Science High School,
Philippine State College of Aeronautics,
Philippine Statistical Research and Training Institute,PSRTI
Philippine Statistics Authority,PSA
Philippine Textile Research Institute,PTRI
Philippine Trade Training Center,PTTC
Philippine Veterans Affairs Office,Proper
Polytechnic University of the Philippines,
President Ramon Magsaysay State University,
